Município;Assist_Soc;Psic;Psiqui;Acoes_prom;Acoes_comp;2017;2018;2019;2020;2021;Ar_Ter_km2;Pop_Est;PIB;IDH
412730 Terra Rica;2.0;2.0;0.0;92414;0;135;38;0;0;0;2951567;206880;4387469;6.64
411065 Iracema do Oeste;1.0;2.0;0.0;0;0;0;22;0;0;0;5704590;100290;2511459;6.65
410670 Cruzeiro do Sul;0.0;0.0;0.0;908;0;0;0;0;0;0;3122990;28920;3798142;6.66
410975 Ibema;2.0;2.0;0.0;0;0;0;0;0;0;0;67524;76710;290105;6.66
411340 Leópolis;1.0;1.0;0.0;14593;0;44;2;0;0;0;3613670;44880;3431021;6.66
410020 Adrianópolis;1.0;1.0;1.0;561;0;78;50;0;0;0;1349311;57970;4367747;6.67
410045 Altamira do Paraná;0.0;1.0;0.0;0;0;0;0;0;0;0;3869450;14290;3320641;6.67
410280 Bela Vista do Paraíso;5.0;5.0;1.0;31365;0;55;82;0;0;0;1228285;164110;2296566;6.67
410500 Catanduvas;2.0;4.0;0.0;0;0;126;122;0;0;0;3718340;107040;2094344;6.68
410590 Colorado;4.0;10.0;2.0;223546;0;87;12;0;0;0;5359630;88960;2343505;6.68
411360 Lobato;0.0;1.0;0.0;13646;0;0;0;0;0;0;9168390;72170;4502298;6.68
410080 Alvorada do Sul;1.0;4.0;1.0;53961;0;138;94;0;0;0;3847350;64050;2569134;6.69
410820 Formosa do Oeste;0.0;2.0;1.0;2562;0;57;41;0;0;0;3218980;59420;3211932;6.69
410880 Guaíra;4.0;12.0;0.0;1875;0;0;0;1110;0;0;2447950;88810;2780344;6.69
412420 Santo Antônio do Caiuá;1.0;1.0;0.0;225;0;0;0;0;0;0;3256510;203540;2523269;6.71
412530 São Jorge do Ivaí;1.0;4.0;0.0;14832;0;0;0;0;0;0;3996670;61150;2317946;6.71
412680 Tapejara;1.0;3.0;0.0;72311;0;0;0;0;0;0;9027930;127610;3121248;6.71
412135 Rancho Alegre D'Oeste;1.0;1.0;0.0;42750;0;4;0;0;0;0;48184;149910;2555697;6.72
412790 Tuneiras do Oeste;1.0;2.0;0.0;0;0;1;5;0;0;0;9389660;129770;3315016;6.72
410840 Francisco Beltrão;28.0;67.0;1.0;31293;823;1080;1562;0;975;823;1310120;28500;173431;6.75
411600 Miraselva;1.0;1.0;0.0;0;0;0;0;0;0;0;3537720;119660;2542559;6.75
410070 Alto Piquiri;2.0;4.0;0.0;14947;296;101;76;772;1934;296;4476660;97220;309000;6.76
410160 Arapoti;3.0;6.0;0.0;53647;0;174;93;0;0;0;2173710;29510;3389805;6.76
412040 Presidente Castelo Branco;1.0;2.0;0.0;0;0;0;0;0;0;0;2247141;527760;2303131;6.76
412520 São Jorge d'Oeste;3.0;3.0;0.0;34243;0;126;0;0;0;0;40469;55320;2030166;6.76
410770 Fênix;1.0;2.0;0.0;553;0;51;7;0;0;0;1297690;76250;1907111;6.77
410910 Guaporema;0.0;0.0;0.0;25494;0;19;19;0;0;0;123832;119690;2777956;6.77
410490 Castro;5.0;18.0;0.0;29817;0;782;1046;0;0;0;5817560;101440;2680332;6.78
412860 Verê;0.0;3.0;0.0;31102;0;105;79;0;0;0;9677720;26300;3443222;6.78
